Gene_ID,Gene_Symbol,Chromosome,Gene_Type,Gene_RefSeq_Status,RNA_RefSeq_Status,Gene_Length_bp
254013,ETFBKMT,12,protein-coding,VALIDATED,VALIDATED,25955
2110,ETFDH,4,protein-coding,REVIEWED,REVIEWED,36613
144363,ETFRF1,12,protein-coding,VALIDATED,VALIDATED,9800
23474,ETHE1,19,protein-coding,REVIEWED,REVIEWED,20538
55500,ETNK1,12,protein-coding,REVIEWED,REVIEWED,65533
55224,ETNK2,1,protein-coding,REVIEWED,REVIEWED,21122
64850,ETNPPL,4,protein-coding,VALIDATED,VALIDATED,21040
2113,ETS1,11,protein-coding,REVIEWED,REVIEWED,128833
2114,ETS2,21,protein-coding,REVIEWED,REVIEWED,19649
2115,ETV1,7,protein-coding,REVIEWED,REVIEWED,100197
2116,ETV2,19,protein-coding,VALIDATED,VALIDATED,3697
2117,ETV3,1,protein-coding,VALIDATED,VALIDATED,17401
440695,ETV3L,1,protein-coding,VALIDATED,VALIDATED,20790
2118,ETV4,17,protein-coding,VALIDATED,VALIDATED,18590
2119,ETV5,3,protein-coding,VALIDATED,VALIDATED,62796
2120,ETV6,12,protein-coding,REVIEWED,REVIEWED,245802
51513,ETV7,6,protein-coding,REVIEWED,REVIEWED,33580
84141,EVA1A,2,protein-coding,VALIDATED,VALIDATED,77405
55194,EVA1B,1,protein-coding,VALIDATED,VALIDATED,2125
59271,EVA1C,21,protein-coding,VALIDATED,VALIDATED,103709
2121,EVC,4,protein-coding,REVIEWED,REVIEWED,117847
132884,EVC2,4,protein-coding,REVIEWED,REVIEWED,147141
2123,EVI2A,17,protein-coding,VALIDATED,VALIDATED,5340
2124,EVI2B,17,protein-coding,VALIDATED,VALIDATED,10380
7813,EVI5,1,protein-coding,VALIDATED,VALIDATED,283718
115704,EVI5L,19,protein-coding,VALIDATED,VALIDATED,34818
51466,EVL,14,protein-coding,VALIDATED,VALIDATED,172783
2125,EVPL,17,protein-coding,REVIEWED,REVIEWED,20608
645027,EVPLL,17,protein-coding,VALIDATED,VALIDATED,11980
2128,EVX1,7,protein-coding,REVIEWED,REVIEWED,5275
344191,EVX2,2,protein-coding,REVIEWED,REVIEWED,3856
2130,EWSR1,22,protein-coding,REVIEWED,REVIEWED,32517
161829,EXD1,15,protein-coding,VALIDATED,VALIDATED,48347
55218,EXD2,14,protein-coding,VALIDATED,VALIDATED,52544
54932,EXD3,9,protein-coding,VALIDATED,VALIDATED,116369
9156,EXO1,1,protein-coding,REVIEWED,REVIEWED,41973
64789,EXO5,1,protein-coding,REVIEWED,REVIEWED,7332
55763,EXOC1,4,protein-coding,REVIEWED,REVIEWED,51431
644145,EXOC1L,4,protein-coding,VALIDATED,VALIDATED,17435
55770,EXOC2,6,protein-coding,REVIEWED,REVIEWED,208004
11336,EXOC3,5,protein-coding,REVIEWED,REVIEWED,24078
283849,EXOC3L1,16,protein-coding,VALIDATED,VALIDATED,5826
90332,EXOC3L2,19,protein-coding,REVIEWED,REVIEWED,21835
91828,EXOC3L4,14,protein-coding,VALIDATED,VALIDATED,16361
60412,EXOC4,7,protein-coding,REVIEWED,REVIEWED,814071
10640,EXOC5,14,protein-coding,REVIEWED,REVIEWED,66424
54536,EXOC6,10,protein-coding,REVIEWED,REVIEWED,232664
23233,EXOC6B,2,protein-coding,REVIEWED,REVIEWED,650059
23265,EXOC7,17,protein-coding,REVIEWED,REVIEWED,22795
149371,EXOC8,1,protein-coding,REVIEWED,REVIEWED,5142
9941,EXOG,3,protein-coding,REVIEWED,REVIEWED,30179
51013,EXOSC1,10,protein-coding,REVIEWED,REVIEWED,10109
5394,EXOSC10,1,protein-coding,VALIDATED,VALIDATED,33298
23404,EXOSC2,9,protein-coding,VALIDATED,VALIDATED,11135
51010,EXOSC3,9,protein-coding,REVIEWED,REVIEWED,5379
54512,EXOSC4,8,protein-coding,VALIDATED,VALIDATED,16588
56915,EXOSC5,19,protein-coding,VALIDATED,VALIDATED,10982
118460,EXOSC6,16,protein-coding,REVIEWED,REVIEWED,1700
23016,EXOSC7,3,protein-coding,VALIDATED,VALIDATED,37378
11340,EXOSC8,13,protein-coding,REVIEWED,REVIEWED,9242
5393,EXOSC9,4,protein-coding,REVIEWED,REVIEWED,15705
23086,EXPH5,11,protein-coding,REVIEWED,REVIEWED,102084
2131,EXT1,8,protein-coding,REVIEWED,REVIEWED,312457
2132,EXT2,11,protein-coding,REVIEWED,REVIEWED,149882
2134,EXTL1,1,protein-coding,REVIEWED,REVIEWED,14690
2135,EXTL2,1,protein-coding,VALIDATED,VALIDATED,23040
2137,EXTL3,8,protein-coding,REVIEWED,REVIEWED,145955
2138,EYA1,8,protein-coding,REVIEWED,REVIEWED,350698
2139,EYA2,20,protein-coding,REVIEWED,REVIEWED,294221
2140,EYA3,1,protein-coding,REVIEWED,REVIEWED,118328
2070,EYA4,6,protein-coding,REVIEWED,REVIEWED,291781
346007,EYS,6,protein-coding,REVIEWED,REVIEWED,1987246
2145,EZH1,17,protein-coding,VALIDATED,VALIDATED,44822
2146,EZH2,7,protein-coding,REVIEWED,REVIEWED,76978
7430,EZR,6,protein-coding,REVIEWED,REVIEWED,53684
2159,F10,13,protein-coding,REVIEWED,REVIEWED,26731
2160,F11,4,protein-coding,REVIEWED,REVIEWED,24764
50848,F11R,1,protein-coding,REVIEWED,REVIEWED,26138
2161,F12,5,protein-coding,REVIEWED,REVIEWED,7439
2162,F13A1,6,protein-coding,REVIEWED,REVIEWED,176614
2165,F13B,1,protein-coding,REVIEWED,REVIEWED,28527
2147,F2,11,protein-coding,REVIEWED,REVIEWED,20343
2149,F2R,5,protein-coding,REVIEWED,REVIEWED,19738
2150,F2RL1,5,protein-coding,REVIEWED,REVIEWED,16339
2151,F2RL2,5,protein-coding,REVIEWED,REVIEWED,7953
9002,F2RL3,19,protein-coding,REVIEWED,REVIEWED,3741
2152,F3,1,protein-coding,REVIEWED,REVIEWED,12682
2153,F5,1,protein-coding,REVIEWED,REVIEWED,74677
2155,F7,13,protein-coding,REVIEWED,REVIEWED,14909
2157,F8,X,protein-coding,REVIEWED,REVIEWED,186936
8263,F8A1,X,protein-coding,REVIEWED,REVIEWED,1702
474383,F8A2,X,protein-coding,REVIEWED,REVIEWED,1116
474384,F8A3,X,protein-coding,REVIEWED,REVIEWED,1116
2158,F9,X,protein-coding,REVIEWED,REVIEWED,32740
79152,FA2H,16,protein-coding,REVIEWED,REVIEWED,61877
2166,FAAH,1,protein-coding,REVIEWED,REVIEWED,19582
158584,FAAH2,X,protein-coding,REVIEWED,REVIEWED,367336
80233,FAAP100,17,protein-coding,VALIDATED,VALIDATED,12519
199990,FAAP20,1,protein-coding,VALIDATED,VALIDATED,28264
91442,FAAP24,19,protein-coding,VALIDATED,VALIDATED,5284
2168,FABP1,2,protein-coding,REVIEWED,REVIEWED,5150
646486,FABP12,8,protein-coding,VALIDATED,VALIDATED,65992
2169,FABP2,4,protein-coding,REVIEWED,REVIEWED,4912
2170,FABP3,1,protein-coding,REVIEWED,REVIEWED,14024
2167,FABP4,8,protein-coding,REVIEWED,REVIEWED,4742
2171,FABP5,8,protein-coding,REVIEWED,REVIEWED,4295
2172,FABP6,5,protein-coding,REVIEWED,REVIEWED,51356
2173,FABP7,6,protein-coding,REVIEWED,REVIEWED,34877
8772,FADD,11,protein-coding,REVIEWED,REVIEWED,4240
3992,FADS1,11,protein-coding,REVIEWED,REVIEWED,17433
9415,FADS2,11,protein-coding,REVIEWED,REVIEWED,51152
3995,FADS3,11,protein-coding,REVIEWED,REVIEWED,18702
283985,FADS6,17,protein-coding,VALIDATED,VALIDATED,16510
11124,FAF1,1,protein-coding,REVIEWED,REVIEWED,519002
23197,FAF2,5,protein-coding,REVIEWED,REVIEWED,61747
2184,FAH,15,protein-coding,REVIEWED,REVIEWED,33760
81889,FAHD1,16,protein-coding,VALIDATED,VALIDATED,12984
51011,FAHD2A,2,protein-coding,VALIDATED,VALIDATED,14031
151313,FAHD2B,2,protein-coding,VALIDATED,VALIDATED,14145
55179,FAIM,3,protein-coding,REVIEWED,REVIEWED,25278
23017,FAIM2,12,protein-coding,VALIDATED,VALIDATED,37082
399665,FAM102A,9,protein-coding,VALIDATED,VALIDATED,39952
284611,FAM102B,1,protein-coding,VALIDATED,VALIDATED,78979
84923,FAM104A,17,protein-coding,VALIDATED,VALIDATED,25042
90736,FAM104B,X,protein-coding,VALIDATED,VALIDATED,18094
80039,FAM106A,17,protein-coding,VALIDATED,VALIDATED,2281
100996259,FAM106B,17,protein-coding,VALIDATED,VALIDATED,1499
100129396,FAM106CP,17,protein-coding,VALIDATED,VALIDATED,1759
11170,FAM107A,3,protein-coding,VALIDATED,VALIDATED,63499
83641,FAM107B,10,protein-coding,VALIDATED,VALIDATED,256341
83541,FAM110A,20,protein-coding,VALIDATED,VALIDATED,12583
90362,FAM110B,8,protein-coding,VALIDATED,VALIDATED,155210
642273,FAM110C,2,protein-coding,VALIDATED,VALIDATED,8264
79927,FAM110D,1,protein-coding,VALIDATED,VALIDATED,3609
63901,FAM111A,11,protein-coding,REVIEWED,REVIEWED,12294
374393,FAM111B,11,protein-coding,REVIEWED,REVIEWED,20231
92689,FAM114A1,4,protein-coding,REVIEWED,REVIEWED,78012
10827,FAM114A2,5,protein-coding,VALIDATED,VALIDATED,48808
81558,FAM117A,17,protein-coding,VALIDATED,VALIDATED,53832
150864,FAM117B,2,protein-coding,VALIDATED,VALIDATED,134580
55007,FAM118A,22,protein-coding,VALIDATED,VALIDATED,32996
79607,FAM118B,11,protein-coding,VALIDATED,VALIDATED,53127
23196,FAM120A,9,protein-coding,VALIDATED,VALIDATED,114420
158293,FAM120AOS,9,protein-coding,REVIEWED,REVIEWED,7108
84498,FAM120B,6,protein-coding,VALIDATED,VALIDATED,117046
54954,FAM120C,X,protein-coding,REVIEWED,REVIEWED,114961
116224,FAM122A,9,protein-coding,VALIDATED,VALIDATED,3874
159090,FAM122B,X,protein-coding,VALIDATED,VALIDATED,27667
159091,FAM122C,X,protein-coding,VALIDATED,VALIDATED,58725
220108,FAM124A,13,protein-coding,VALIDATED,VALIDATED,61908
79843,FAM124B,2,protein-coding,VALIDATED,VALIDATED,23297
84668,FAM126A,7,protein-coding,REVIEWED,REVIEWED,118304
285172,FAM126B,2,protein-coding,VALIDATED,VALIDATED,97954
116496,FAM129A,1,protein-coding,REVIEWED,REVIEWED,183562
64855,FAM129B,9,protein-coding,VALIDATED,VALIDATED,73670
199786,FAM129C,19,protein-coding,VALIDATED,VALIDATED,33455
131408,FAM131A,3,protein-coding,VALIDATED,VALIDATED,10359
9715,FAM131B,7,protein-coding,VALIDATED,VALIDATED,28905
348487,FAM131C,1,protein-coding,VALIDATED,VALIDATED,15864
286499,FAM133A,X,protein-coding,VALIDATED,VALIDATED,38559
257415,FAM133B,7,protein-coding,VALIDATED,VALIDATED,29637
57579,FAM135A,6,protein-coding,VALIDATED,VALIDATED,147771
51059,FAM135B,8,protein-coding,VALIDATED,VALIDATED,368368
84908,FAM136A,2,protein-coding,REVIEWED,REVIEWED,6113
10144,FAM13A,4,protein-coding,VALIDATED,VALIDATED,385445
51306,FAM13B,5,protein-coding,VALIDATED,VALIDATED,114053
220965,FAM13C,10,protein-coding,VALIDATED,VALIDATED,117249
25854,FAM149A,4,protein-coding,VALIDATED,VALIDATED,28377
317662,FAM149B1,10,protein-coding,VALIDATED,VALIDATED,74092
338094,FAM151A,1,protein-coding,VALIDATED,VALIDATED,14351
167555,FAM151B,5,protein-coding,VALIDATED,VALIDATED,54583
285596,FAM153A,5,protein-coding,VALIDATED,VALIDATED,89272
202134,FAM153B,5,protein-coding,VALIDATED,VALIDATED,51090
728215,FAM155A,13,protein-coding,VALIDATED,VALIDATED,700124
27112,FAM155B,X,protein-coding,VALIDATED,VALIDATED,27305
29057,FAM156A,X,protein-coding,VALIDATED,VALIDATED,48219
727866,FAM156B,X,protein-coding,VALIDATED,VALIDATED,16962
729830,FAM160A1,4,protein-coding,VALIDATED,VALIDATED,261361
84067,FAM160A2,11,protein-coding,REVIEWED,REVIEWED,23378
57700,FAM160B1,10,protein-coding,VALIDATED,VALIDATED,78084
64760,FAM160B2,8,protein-coding,VALIDATED,VALIDATED,15227
84140,FAM161A,2,protein-coding,REVIEWED,REVIEWED,53904
145483,FAM161B,14,protein-coding,VALIDATED,VALIDATED,18384
26355,FAM162A,3,protein-coding,VALIDATED,VALIDATED,25939
221303,FAM162B,6,protein-coding,VALIDATED,VALIDATED,13527
148753,FAM163A,1,protein-coding,VALIDATED,VALIDATED,88436
642968,FAM163B,9,protein-coding,VALIDATED,VALIDATED,32301
401565,FAM166A,9,protein-coding,VALIDATED,VALIDATED,7731
730112,FAM166B,9,protein-coding,VALIDATED,VALIDATED,2070
83648,FAM167A,8,protein-coding,VALIDATED,VALIDATED,54446
84734,FAM167B,1,protein-coding,VALIDATED,VALIDATED,1644
23201,FAM168A,11,protein-coding,VALIDATED,VALIDATED,197712
130074,FAM168B,2,protein-coding,VALIDATED,VALIDATED,45593
26049,FAM169A,5,protein-coding,VALIDATED,VALIDATED,90421
283777,FAM169B,15,protein-coding,VALIDATED,VALIDATED,77221
340069,FAM170A,5,protein-coding,VALIDATED,VALIDATED,6264
170370,FAM170B,10,protein-coding,VALIDATED,VALIDATED,2867
221061,FAM171A1,10,protein-coding,VALIDATED,VALIDATED,162890
284069,FAM171A2,17,protein-coding,VALIDATED,VALIDATED,10653
165215,FAM171B,2,protein-coding,VALIDATED,VALIDATED,69726
83989,FAM172A,5,protein-coding,VALIDATED,VALIDATED,496570
65990,FAM173A,16,protein-coding,VALIDATED,VALIDATED,2010
345757,FAM174A,5,protein-coding,VALIDATED,VALIDATED,51437
400451,FAM174B,15,protein-coding,VALIDATED,VALIDATED,116773
283635,FAM177A1,14,protein-coding,REVIEWED,REVIEWED,38477
400823,FAM177B,1,protein-coding,VALIDATED,VALIDATED,34978
51252,FAM178B,2,protein-coding,VALIDATED,VALIDATED,110719
389558,FAM180A,7,protein-coding,VALIDATED,VALIDATED,19272
399888,FAM180B,11,protein-coding,VALIDATED,VALIDATED,2517
90050,FAM181A,14,protein-coding,VALIDATED,VALIDATED,10715
220382,FAM181B,11,protein-coding,VALIDATED,VALIDATED,1861
440585,FAM183A,1,protein-coding,VALIDATED,VALIDATED,13438
79632,FAM184A,6,protein-coding,VALIDATED,VALIDATED,189365
27146,FAM184B,4,protein-coding,VALIDATED,VALIDATED,149440
222234,FAM185A,7,protein-coding,VALIDATED,VALIDATED,164452
121006,FAM186A,12,protein-coding,VALIDATED,VALIDATED,69780
84070,FAM186B,12,protein-coding,VALIDATED,VALIDATED,22835
100528020,FAM187A,17,protein-coding,VALIDATED,VALIDATED,1561
148109,FAM187B,19,protein-coding,VALIDATED,VALIDATED,3925
23359,FAM189A1,15,protein-coding,VALIDATED,VALIDATED,450472
9413,FAM189A2,9,protein-coding,VALIDATED,VALIDATED,67902
10712,FAM189B,1,protein-coding,VALIDATED,VALIDATED,8688
80011,FAM192A,16,protein-coding,VALIDATED,VALIDATED,33876
8603,FAM193A,4,protein-coding,VALIDATED,VALIDATED,197188
54540,FAM193B,5,protein-coding,VALIDATED,VALIDATED,34797
139231,FAM199X,X,protein-coding,VALIDATED,VALIDATED,29428
407738,FAM19A1,3,protein-coding,REVIEWED,REVIEWED,554465
338811,FAM19A2,12,protein-coding,REVIEWED,REVIEWED,551857
284467,FAM19A3,1,protein-coding,REVIEWED,REVIEWED,8275
151647,FAM19A4,3,protein-coding,REVIEWED,REVIEWED,200847
25817,FAM19A5,22,protein-coding,VALIDATED,VALIDATED,262476
221786,FAM200A,7,protein-coding,VALIDATED,VALIDATED,13101
285550,FAM200B,4,protein-coding,VALIDATED,VALIDATED,38927
63877,FAM204A,10,protein-coding,VALIDATED,VALIDATED,36439
259308,FAM205A,9,protein-coding,VALIDATED,VALIDATED,6486
100129969,FAM205C,9,protein-coding,VALIDATED,VALIDATED,6715
54942,FAM206A,9,protein-coding,VALIDATED,VALIDATED,16353
85395,FAM207A,21,protein-coding,VALIDATED,VALIDATED,37293
200232,FAM209A,20,protein-coding,VALIDATED,VALIDATED,8862
388799,FAM209B,20,protein-coding,VALIDATED,VALIDATED,28503
54757,FAM20A,17,protein-coding,REVIEWED,REVIEWED,70679
9917,FAM20B,1,protein-coding,VALIDATED,VALIDATED,50771
56975,FAM20C,7,protein-coding,REVIEWED,REVIEWED,67836
125228,FAM210A,18,protein-coding,VALIDATED,VALIDATED,63246
116151,FAM210B,20,protein-coding,VALIDATED,VALIDATED,9737
56204,FAM214A,15,protein-coding,VALIDATED,VALIDATED,128497
80256,FAM214B,9,protein-coding,VALIDATED,VALIDATED,12221
29902,FAM216A,12,protein-coding,VALIDATED,VALIDATED,21975
144809,FAM216B,13,protein-coding,VALIDATED,VALIDATED,10000
222826,FAM217A,6,protein-coding,VALIDATED,VALIDATED,37012
63939,FAM217B,20,protein-coding,VALIDATED,VALIDATED,14917
152756,FAM218A,4,protein-coding,VALIDATED,VALIDATED,2184
203259,FAM219A,9,protein-coding,VALIDATED,VALIDATED,60387
57184,FAM219B,15,protein-coding,VALIDATED,VALIDATED,8055
84792,FAM220A,7,protein-coding,VALIDATED,VALIDATED,19551
340277,FAM221A,7,protein-coding,VALIDATED,VALIDATED,23136
392307,FAM221B,9,protein-coding,VALIDATED,VALIDATED,12132
84915,FAM222A,12,protein-coding,VALIDATED,VALIDATED,56675
55731,FAM222B,17,protein-coding,VALIDATED,VALIDATED,99008
646851,FAM227A,22,protein-coding,VALIDATED,VALIDATED,78510
196951,FAM227B,15,protein-coding,VALIDATED,VALIDATED,293935
653140,FAM228A,2,protein-coding,VALIDATED,VALIDATED,16656
375190,FAM228B,2,protein-coding,VALIDATED,VALIDATED,92765
100128071,FAM229A,1,protein-coding,VALIDATED,VALIDATED,974
619208,FAM229B,6,protein-coding,VALIDATED,VALIDATED,15320
83986,FAM234A,16,protein-coding,VALIDATED,VALIDATED,35398
57613,FAM234B,12,protein-coding,VALIDATED,VALIDATED,39069
100129407,FAM236A,X,protein-coding,VALIDATED,VALIDATED,796
100132304,FAM236B,X,protein-coding,VALIDATED,VALIDATED,796
200726,FAM237A,2,protein-coding,VALIDATED,VALIDATED,5128
100132146,FAM240A,3,protein-coding,VALIDATED,VALIDATED,14109
132720,FAM241A,4,protein-coding,VALIDATED,VALIDATED,43685
219738,FAM241B,10,protein-coding,VALIDATED,VALIDATED,3359
101928147,FAM243A,21,protein-coding,VALIDATED,VALIDATED,961
118670,FAM24A,10,protein-coding,VALIDATED,VALIDATED,2517
196792,FAM24B,10,protein-coding,VALIDATED,VALIDATED,30548
643161,FAM25A,10,protein-coding,VALIDATED,VALIDATED,4442
644054,FAM25C,10,protein-coding,VALIDATED,VALIDATED,4470
643479,FAM25E,10,protein-coding,VALIDATED,VALIDATED,1897
100133093,FAM25G,10,protein-coding,VALIDATED,VALIDATED,4465
26017,FAM32A,19,protein-coding,VALIDATED,VALIDATED,6863
60343,FAM3A,X,protein-coding,REVIEWED,REVIEWED,10099
54097,FAM3B,21,protein-coding,VALIDATED,VALIDATED,53499
10447,FAM3C,7,protein-coding,REVIEWED,REVIEWED,47519
131177,FAM3D,3,protein-coding,VALIDATED,VALIDATED,32901
131583,FAM43A,3,protein-coding,VALIDATED,VALIDATED,3145
163933,FAM43B,1,protein-coding,VALIDATED,VALIDATED,2582
404636,FAM45A,10,protein-coding,VALIDATED,VALIDATED,33920
158724,FAM47A,X,protein-coding,VALIDATED,VALIDATED,2579
170062,FAM47B,X,protein-coding,VALIDATED,VALIDATED,2122
442444,FAM47C,X,protein-coding,VALIDATED,VALIDATED,3308
100129583,FAM47E,4,protein-coding,VALIDATED,VALIDATED,69744
100631383,FAM47E-STBD1,4,protein-coding,VALIDATED,VALIDATED,59431
81553,FAM49A,2,protein-coding,VALIDATED,VALIDATED,116408
51571,FAM49B,8,protein-coding,VALIDATED,VALIDATED,177537
9130,FAM50A,X,protein-coding,REVIEWED,REVIEWED,6529
26240,FAM50B,6,protein-coding,REVIEWED,REVIEWED,19420
152877,FAM53A,4,protein-coding,VALIDATED,VALIDATED,110259
9679,FAM53B,10,protein-coding,VALIDATED,VALIDATED,125068
51307,FAM53C,5,protein-coding,REVIEWED,REVIEWED,12195
79850,FAM57A,17,protein-coding,REVIEWED,REVIEWED,10423
83723,FAM57B,16,protein-coding,REVIEWED,REVIEWED,28604
149647,FAM71A,1,protein-coding,REVIEWED,REVIEWED,2332
153745,FAM71B,5,protein-coding,VALIDATED,VALIDATED,3937
196472,FAM71C,12,protein-coding,VALIDATED,VALIDATED,2365
161142,FAM71D,14,protein-coding,VALIDATED,VALIDATED,40186
112703,FAM71E1,19,protein-coding,VALIDATED,VALIDATED,10104
284418,FAM71E2,19,protein-coding,VALIDATED,VALIDATED,8345
84691,FAM71F1,7,protein-coding,VALIDATED,VALIDATED,22683
346653,FAM71F2,7,protein-coding,VALIDATED,VALIDATED,30635
729533,FAM72A,1,protein-coding,VALIDATED,VALIDATED,19168
653820,FAM72B,1,protein-coding,VALIDATED,VALIDATED,19251
554282,FAM72C,1,protein-coding,VALIDATED,VALIDATED,18156
728833,FAM72D,1,protein-coding,VALIDATED,VALIDATED,18888
199870,FAM76A,1,protein-coding,VALIDATED,VALIDATED,36937
143684,FAM76B,11,protein-coding,VALIDATED,VALIDATED,21455
286336,FAM78A,9,protein-coding,VALIDATED,VALIDATED,23851
149297,FAM78B,1,protein-coding,VALIDATED,VALIDATED,110871
145773,FAM81A,15,protein-coding,VALIDATED,VALIDATED,123894
153643,FAM81B,5,protein-coding,VALIDATED,VALIDATED,65646
84985,FAM83A,8,protein-coding,VALIDATED,VALIDATED,31033
222584,FAM83B,6,protein-coding,VALIDATED,VALIDATED,98777
128876,FAM83C,20,protein-coding,REVIEWED,REVIEWED,6692
81610,FAM83D,20,protein-coding,VALIDATED,VALIDATED,26749
54854,FAM83E,19,protein-coding,VALIDATED,VALIDATED,14640
113828,FAM83F,22,protein-coding,VALIDATED,VALIDATED,35091
644815,FAM83G,17,protein-coding,VALIDATED,VALIDATED,37355
286077,FAM83H,8,protein-coding,REVIEWED,REVIEWED,17694
151354,FAM84A,2,protein-coding,VALIDATED,VALIDATED,19234
157638,FAM84B,8,protein-coding,VALIDATED,VALIDATED,6061
85002,FAM86B1,8,protein-coding,VALIDATED,VALIDATED,13333
653333,FAM86B2,8,protein-coding,VALIDATED,VALIDATED,11006
55199,FAM86C1,11,protein-coding,VALIDATED,VALIDATED,13724
375061,FAM89A,1,protein-coding,VALIDATED,VALIDATED,21292
23625,FAM89B,11,protein-coding,VALIDATED,VALIDATED,1850
51439,FAM8A1,6,protein-coding,VALIDATED,VALIDATED,11433
55138,FAM90A1,12,protein-coding,VALIDATED,VALIDATED,6359
157769,FAM91A1,8,protein-coding,VALIDATED,VALIDATED,47014
137392,FAM92A,8,protein-coding,VALIDATED,VALIDATED,32119
339145,FAM92B,16,protein-coding,VALIDATED,VALIDATED,14157
25940,FAM98A,2,protein-coding,VALIDATED,VALIDATED,15702
283742,FAM98B,15,protein-coding,VALIDATED,VALIDATED,33584
147965,FAM98C,19,protein-coding,VALIDATED,VALIDATED,5965
171482,FAM9A,X,protein-coding,VALIDATED,VALIDATED,10589
171483,FAM9B,X,protein-coding,VALIDATED,VALIDATED,9896
171484,FAM9C,X,protein-coding,VALIDATED,VALIDATED,9182
22909,FAN1,15,protein-coding,REVIEWED,REVIEWED,39257
2175,FANCA,16,protein-coding,REVIEWED,REVIEWED,79110
2187,FANCB,X,protein-coding,REVIEWED,REVIEWED,182393
2176,FANCC,9,protein-coding,REVIEWED,REVIEWED,218677
2177,FANCD2,3,protein-coding,REVIEWED,REVIEWED,75551
115795,FANCD2OS,3,protein-coding,VALIDATED,VALIDATED,27284
2178,FANCE,6,protein-coding,REVIEWED,REVIEWED,14768
2188,FANCF,11,protein-coding,REVIEWED,REVIEWED,3309
2189,FANCG,9,protein-coding,REVIEWED,REVIEWED,6179
55215,FANCI,15,protein-coding,REVIEWED,REVIEWED,73179
55120,FANCL,2,protein-coding,REVIEWED,REVIEWED,82439
57697,FANCM,14,protein-coding,REVIEWED,REVIEWED,64952
92565,FANK1,10,protein-coding,VALIDATED,VALIDATED,113377
2191,FAP,2,protein-coding,REVIEWED,REVIEWED,72874
84188,FAR1,11,protein-coding,REVIEWED,REVIEWED,63688
55711,FAR2,12,protein-coding,REVIEWED,REVIEWED,186615
10160,FARP1,13,protein-coding,REVIEWED,REVIEWED,307212
9855,FARP2,2,protein-coding,VALIDATED,VALIDATED,138594
10667,FARS2,6,protein-coding,REVIEWED,REVIEWED,510592
2193,FARSA,19,protein-coding,VALIDATED,VALIDATED,11275
10056,FARSB,2,protein-coding,REVIEWED,REVIEWED,84913
355,FAS,10,protein-coding,REVIEWED,REVIEWED,48633
356,FASLG,1,protein-coding,REVIEWED,REVIEWED,7866
2194,FASN,17,protein-coding,REVIEWED,REVIEWED,19966
10922,FASTK,7,protein-coding,REVIEWED,REVIEWED,4263
79675,FASTKD1,2,protein-coding,VALIDATED,VALIDATED,46042
22868,FASTKD2,2,protein-coding,REVIEWED,REVIEWED,30802
79072,FASTKD3,5,protein-coding,REVIEWED,REVIEWED,9879
60493,FASTKD5,20,protein-coding,VALIDATED,VALIDATED,13368
2195,FAT1,4,protein-coding,REVIEWED,REVIEWED,138914
2196,FAT2,5,protein-coding,REVIEWED,REVIEWED,90731
120114,FAT3,11,protein-coding,VALIDATED,VALIDATED,671838
79633,FAT4,4,protein-coding,REVIEWED,REVIEWED,178020
89885,FATE1,X,protein-coding,REVIEWED,REVIEWED,7159
2197,FAU,11,protein-coding,REVIEWED,REVIEWED,1574
84553,FAXC,6,protein-coding,VALIDATED,VALIDATED,79150
10826,FAXDC2,5,protein-coding,VALIDATED,VALIDATED,33668
85302,FBF1,17,protein-coding,VALIDATED,VALIDATED,28659
84893,FBH1,10,protein-coding,REVIEWED,REVIEWED,48024
2091,FBL,19,protein-coding,REVIEWED,REVIEWED,11962
54751,FBLIM1,1,protein-coding,REVIEWED,REVIEWED,30425
345630,FBLL1,5,protein-coding,VALIDATED,VALIDATED,1572
2192,FBLN1,22,protein-coding,REVIEWED,REVIEWED,98296
2199,FBLN2,3,protein-coding,REVIEWED,REVIEWED,89298
10516,FBLN5,14,protein-coding,REVIEWED,REVIEWED,78292
129804,FBLN7,2,protein-coding,VALIDATED,VALIDATED,116174
2200,FBN1,15,protein-coding,REVIEWED,REVIEWED,237483
2201,FBN2,5,protein-coding,REVIEWED,REVIEWED,280134
84467,FBN3,19,protein-coding,REVIEWED,REVIEWED,84445
2203,FBP1,9,protein-coding,REVIEWED,REVIEWED,37126
8789,FBP2,9,protein-coding,REVIEWED,REVIEWED,35119
64319,FBRS,16,protein-coding,VALIDATED,VALIDATED,12380
57666,FBRSL1,12,protein-coding,VALIDATED,VALIDATED,94750
54850,FBXL12,19,protein-coding,VALIDATED,VALIDATED,10262
222235,FBXL13,7,protein-coding,VALIDATED,VALIDATED,264251
144699,FBXL14,12,protein-coding,VALIDATED,VALIDATED,34550
79176,FBXL15,10,protein-coding,VALIDATED,VALIDATED,3917
146330,FBXL16,16,protein-coding,VALIDATED,VALIDATED,15354
64839,FBXL17,5,protein-coding,VALIDATED,VALIDATED,523066
80028,FBXL18,7,protein-coding,REVIEWED,REVIEWED,59351
54620,FBXL19,16,protein-coding,REVIEWED,REVIEWED,25729
25827,FBXL2,3,protein-coding,REVIEWED,REVIEWED,145674
84961,FBXL20,17,protein-coding,VALIDATED,VALIDATED,150016
283807,FBXL22,15,protein-coding,REVIEWED,REVIEWED,8639
26224,FBXL3,13,protein-coding,REVIEWED,REVIEWED,34600
